Ec	Rel_RFP	Rel_GFP
33	17015.336711786495	1523606.3930306588
34	626566.1094179063	3900289.0221019555
35	2101393.7347182143	1115026.9818008267
36	1627660.610338653	24796160.95176595
37	2501086.1588972597	25423157.35919733
62	747982.4968882885	1530639.5094122223
63	5325043.244194441	1515900.7313271638
64	1226581.02178734	2255436.133652438
65	243060.32245650812	2281072.6808276745
96	569133.2796801865	8537132.697237777
97	754405.5474760024	2482279.970705295
98	505833.8968236889	3057109.0146275833
99	3282703.3807356525	2610343.2394774784
100	498026.61049081385	9227013.609816182
101	5598198.820982489	1984306.7912043075
102	7333737.587491175	1969922.599744229
103	7710754.957804492	927336.3626798806
104	2546404.7540198346	2550574.4086481337
105	5004835.158850028	4447208.325975651
106	4475868.707434933	959365.9843443041
107	8321522.268740428	2631316.36310333
108	9981321.375669759	2863971.873260667
109	13775305.395994704	3112178.7443055077
112	1011790.4426362509	747605.7621982126
